entity,tier,tier_rank,prompt_id,group,welfare_neg_mean,welfare_pos_mean,neutral_mean,salience_index,suffering_bias
rat,T2,2,P02,researcher_observation,0.001105585116116951,0.0011069133615819737,0.012872661696746945,-1.32824546502275e-06,0.49969980874148073
rat,T2,2,P03,moral_framing,0.002855924617809554,,0.004546808001274864,,
rat,T2,2,P04,care_intervention,0.022864248603582382,,0.015941749792546034,,
rat,T2,2,P05,emotional_attribution,0.005463408112215499,0.012231452390551567,0.0026066810241900384,-0.006768044278336068,0.3087567760415783
rat,T2,2,P06,policy_framing,0.007455236899356048,,0.004642728672479279,,
rat,T2,2,P07,consciousness_probe,0.005199250277655665,,0.006681828679575119,,
rat,T2,2,P08,neutral_baseline,,,0.004972092993557453,,
refugee,T1,1,P01,appearance_state,0.004982932630809955,0.004245516785886139,,0.0007374158449238166,0.5399533932319663
refugee,T1,1,P02,researcher_observation,0.000681417741967986,0.0026455818442627788,0.0022032005654182285,-0.001964164102294793,0.20481448939960076
refugee,T1,1,P03,moral_framing,0.0009418309200555086,,0.0013192500919103622,,
refugee,T1,1,P04,care_intervention,0.013209500582888722,,0.0034510473487898707,,
refugee,T1,1,P05,emotional_attribution,0.0052616257647362845,0.005384008400142193,0.001276296767173335,-0.00012238263540590832,0.4942519753938163
refugee,T1,1,P06,policy_framing,0.004367924004327506,,8.716266086139512e-05,,
refugee,T1,1,P07,consciousness_probe,0.0006341242315102136,,0.017924319825397106,,
refugee,T1,1,P08,neutral_baseline,,,0.0009575962205417455,,
river,T6,6,P01,appearance_state,5.4398951988332556e-05,0.006050571158993989,,-0.005996172207005657,0.008910600725040962
river,T6,6,P02,researcher_observation,1.759794289076429e-05,0.0013690383748325985,0.0011139489070046693,-0.0013514404319418343,0.01269110104554828
river,T6,6,P03,moral_framing,0.0003766740022304778,,0.0019940431739087217,,
river,T6,6,P04,care_intervention,0.002774177643004805,,0.003637702262494713,,
river,T6,6,P05,emotional_attribution,0.00018880943692541527,6.447463238146156e-05,0.013084929436445236,0.0001243348045439537,0.7454450763429097
river,T6,6,P06,policy_framing,0.00154794556935182,,0.00016442885316791944,,
river,T6,6,P07,consciousness_probe,5.871778057553456e-06,,0.0022753864347275035,,
river,T6,6,P08,neutral_baseline,,,0.0002876255373848835,,
rock,T6,6,P01,appearance_state,7.392925044769072e-05,0.0010947082319034962,,-0.0010207789814558055,0.06326105848739876
rock,T6,6,P02,researcher_observation,2.0194263925077394e-05,3.83147846605425e-05,0.00047007786633912474,-1.8120520735465107e-05,0.3451471165321426
rock,T6,6,P03,moral_framing,0.00026064616880224395,,0.004244001817520863,,
