entity,tier,layer,pc1,pc2,method
pig,T2,4,-0.8927316665649414,-11.794905662536621,pca_entity_mean
pigeon,T3,4,-2.126056432723999,-6.242710113525391,pca_entity_mean
prisoner,T1,4,20.097171783447266,-0.040752019733190536,pca_entity_mean
rabbit,T2,4,-1.5276695489883423,-9.947465896606445,pca_entity_mean
rat,T2,4,-0.1978871077299118,-7.305424213409424,pca_entity_mean
refugee,T1,4,10.852703094482422,1.8836190700531006,pca_entity_mean
river,T6,4,1.2595078945159912,-0.10715189576148987,pca_entity_mean
rock,T6,4,-1.0052902698516846,4.514665126800537,pca_entity_mean
salmon,T3,4,-6.549281597137451,-10.714452743530273,pca_entity_mean
seaweed,T6,4,-3.531043529510498,3.4867494106292725,pca_entity_mean
shrimp,T4,4,-3.803323745727539,-11.534087181091309,pca_entity_mean
snake,T3,4,-2.051424264907837,-9.64511775970459,pca_entity_mean
soldier,T1,4,15.818021774291992,1.4666060209274292,pca_entity_mean
squid,T4,4,-9.476936340332031,5.483997344970703,pca_entity_mean
statue,T6,4,8.393106460571289,2.128725290298462,pca_entity_mean
table,T6,4,4.897922039031982,9.107650756835938,pca_entity_mean
teenager,T1,4,19.307876586914062,3.120405435562134,pca_entity_mean
trout,T3,4,-4.407360553741455,-13.542716979980469,pca_entity_mean
tuna,T3,4,-6.142171859741211,7.738570213317871,pca_entity_mean
whale,T2,4,-0.7652695178985596,-10.878561019897461,pca_entity_mean
woman,T1,4,17.59675407409668,4.107097148895264,pca_entity_mean
woodlouse,T5,4,-5.217041969299316,9.590633392333984,pca_entity_mean
worker,T1,4,15.00949764251709,3.699565887451172,pca_entity_mean
zebrafish,T3,4,-1.4143112897872925,-14.059683799743652,pca_entity_mean
ant,T5,5,4.0166521072387695,14.75344467163086,pca_entity_mean
aphid,T5,5,4.856784343719482,9.985628128051758,pca_entity_mean
bacterium,T6,5,-2.5056869983673096,-6.074343681335449,pca_entity_mean
bee,T4,5,5.1760053634643555,-1.2660025358200073,pca_entity_mean
beetle,T5,5,6.201567649841309,0.1509924829006195,pca_entity_mean
bumblebee,T4,5,4.871589660644531,8.225424766540527,pca_entity_mean
chicken,T3,5,5.132493019104004,-10.65174674987793,pca_entity_mean
child,T1,5,-20.438066482543945,1.0720239877700806,pca_entity_mean
chimpanzee,T2,5,5.882481575012207,12.783848762512207,pca_entity_mean
cloud,T6,5,-0.5767055153846741,10.478692054748535,pca_entity_mean
cockroach,T5,5,5.625958442687988,8.611261367797852,pca_entity_mean
cow,T2,5,1.7114845514297485,-3.4826574325561523,pca_entity_mean
crab,T4,5,6.346317768096924,-11.169018745422363,pca_entity_mean
crayfish,T4,5,5.2628583908081055,5.9842448234558105,pca_entity_mean
crow,T3,5,9.24421501159668,7.2437825202941895,pca_entity_mean
dog,T2,5,-2.7796151638031006,-7.659914493560791,pca_entity_mean
dolphin,T2,5,0.9856444001197815,4.914899826049805,pca_entity_mean
earthworm,T5,5,1.268933653831482,-0.33622339367866516,pca_entity_mean
elderly person,T1,5,-16.58515739440918,3.3670756816864014,pca_entity_mean
elephant,T2,5,-0.47028833627700806,-3.887033462524414,pca_entity_mean
fly,T5,5,5.846105575561523,-0.009670442901551723,pca_entity_mean
frog,T3,5,2.1217479705810547,-11.039299011230469,pca_entity_mean
gecko,T3,5,5.0262041091918945,7.574978828430176,pca_entity_mean
horse,T2,5,-1.099104642868042,-6.898642063140869,pca_entity_mean
infant,T1,5,-17.498762130737305,-4.912533760070801,pca_entity_mean
lobster,T4,5,8.420398712158203,5.169816493988037,pca_entity_mean
mantis shrimp,T4,5,7.1582770347595215,4.8211469650268555,pca_entity_mean
mite,T5,5,0.7202721834182739,14.041706085205078,pca_entity_mean
moss,T6,5,6.840054512023926,0.999038577079773,pca_entity_mean
moth,T5,5,4.183309078216553,-7.301872730255127,pca_entity_mean
mushroom,T6,5,8.816507339477539,-2.1544573307037354,pca_entity_mean
mussel,T4,5,5.4319963455200195,1.487988829612732,pca_entity_mean
nematode,T5,5,4.565077781677246,-1.1590912342071533,pca_entity_mean
oak tree,T6,5,1.3524340391159058,3.5291755199432373,pca_entity_mean
octopus,T4,5,4.476602077484131,3.7560060024261475,pca_entity_mean
patient,T1,5,-18.74622344970703,4.599603176116943,pca_entity_mean
pig,T2,5,3.39744234085083,-9.574101448059082,pca_entity_mean
pigeon,T3,5,2.778211832046509,-7.304441452026367,pca_entity_mean
prisoner,T1,5,-18.624544143676758,-1.8441452980041504,pca_entity_mean
rabbit,T2,5,2.799044609069824,-12.92548942565918,pca_entity_mean
rat,T2,5,0.5409761667251587,-7.9485883712768555,pca_entity_mean
refugee,T1,5,-12.04943561553955,2.0441300868988037,pca_entity_mean
river,T6,5,-0.4992128312587738,2.0804848670959473,pca_entity_mean
rock,T6,5,1.0306147336959839,6.160406112670898,pca_entity_mean
salmon,T3,5,7.798614501953125,-8.908975601196289,pca_entity_mean
seaweed,T6,5,4.352766513824463,2.7805404663085938,pca_entity_mean
shrimp,T4,5,6.262244701385498,-11.997036933898926,pca_entity_mean
snake,T3,5,2.244889497756958,-10.09988021850586,pca_entity_mean
soldier,T1,5,-15.85511302947998,-0.8986366391181946,pca_entity_mean
squid,T4,5,9.291893005371094,7.6437764167785645,pca_entity_mean
statue,T6,5,-8.773863792419434,0.24794445931911469,pca_entity_mean
table,T6,5,-3.795443534851074,12.560601234436035,pca_entity_mean
teenager,T1,5,-20.350181579589844,-0.7395226955413818,pca_entity_mean
trout,T3,5,6.817305564880371,-11.143573760986328,pca_entity_mean
tuna,T3,5,5.729904651641846,7.263256549835205,pca_entity_mean
whale,T2,5,1.8716821670532227,-12.063368797302246,pca_entity_mean
woman,T1,5,-17.093578338623047,2.0489277839660645,pca_entity_mean
